mes_ref,codigo,descricao,valor
janeiro,1.7.5.1.50.0.1.000,TRANSF FUNDO DE MANUTENÇÃO - FUNDEB,4940082.79
janeiro,1.7.4.1.99.0.1.002,DOAÇÕES FUNDO DO IDOSO,0.0
janeiro,1.7.4.1.99.0.1.001,DOAÇÕES FUNDO CRIANÇA E ADOLESCENTE,0.0
janeiro,1.7.3.9.99.0.1.002,CASA ABRIGO NOSSO LAR,3000.0
janeiro,1.6.9.9.99.0.4.002,Outros Serviços - Dívida Ativa - Multas e Juros,0.0
janeiro,1.7.3.9.99.0.1.001,CASA ABRIGO ADOLESCENTE,4333.0
janeiro,1.7.2.9.99.0.1.001,OUTRAS TRANSF ESTADO EDUCAÇÃO,0.0
janeiro,1.7.2.9.51.0.1.019,CUST SERV VIG SOCIOASSIST,19560.0
janeiro,1.7.2.9.51.0.1.018,VIG SOCIOASSISTENCIAL ESTADO,34720.0
janeiro,1.7.2.9.51.0.1.015,Serv. complementação alimentar à famílias em vul,0.0
janeiro,1.7.2.9.51.0.1.014,Serv. funerais destinados à famílias em vulnerabil,0.0
janeiro,1.7.2.9.51.0.1.013,Serv. dest. nascimento/gestação de famílias em vul,0.0
janeiro,1.7.2.9.51.0.1.011,AÇÕES DE ENFRENTAMENTO À VIOLÊNCIA CONTRA MULHER,0.0
janeiro,1.7.2.9.51.0.1.010,FRENTE FRIA,0.0
janeiro,1.7.2.9.51.0.1.009,Alta Complexidade - Abrigo São José,0.0
janeiro,1.7.2.9.51.0.1.008,Migrante,0.0
janeiro,1.7.2.9.51.0.1.007,L.A. Serv Prot Social Adoles Liberdade Assist,0.0
janeiro,1.7.2.9.51.0.1.006,Centro Dia,0.0
janeiro,1.7.2.9.99.0.1.005,OUTRAS TRANSFERENCIAS ESTADO - ASS SOCIAL,0.0
janeiro,1.9.1.1.01.0.4.005,M/J DIV ATIVA VIOLAÇÃO DE LACRE,28.49
janeiro,1.9.1.1.06.1.2.001,MULTAS ADMINISTRATIVAS POR DANOS AMBIENTAIS,0.0
janeiro,1.9.1.1.09.0.1.001,MULTA PREVISTA EM CONTRATOS,0.0
janeiro,7.9.9.9.01.0.1.002,AMORT. DEFICIT DIV ATIVA/MULTA JUROS INTRA,210.48
janeiro,7.9.9.9.01.0.1.001,APORTES PARA COBERTURA DE DEFICIT,40476.2
janeiro,7.9.2.3.99.0.1.001,Outros Ressarcimentos - Daemo,12630.53
janeiro,7.2.1.5.02.1.1.004,Contribuição Patronal-Serv. Civil Ativo-Instituto,1515.97
janeiro,7.2.1.5.02.1.1.002,Contribuição Patronal - Serv. Civil Ativo - Câmara,23148.47
janeiro,7.2.1.5.02.1.1.001,Contribuição Patronal-Serv. Civil Ativo-Prefeitura,556825.66
janeiro,2.4.2.2.99.0.1.034,AMPLIAÇÃO CRECHE DONA BENTA,0.0
janeiro,2.4.2.2.99.0.1.030,OUTRAS TRANSF. ESTADO - OBRAS,0.0
janeiro,2.4.2.2.99.0.1.009,CASA DA JUVENTUDE,0.0
janeiro,2.4.2.2.50.0.1.003,UBS Qualivida,0.0
janeiro,2.4.1.9.99.0.1.012,OUTRAS TRANS. FEDERAL - OBRAS,0.0
janeiro,2.2.2.1.01.0.1.001,ALIENAÇÃO DE BENS IMOVEIS,65082.53
janeiro,2.2.1.3.01.0.1.001,ALIENAÇÃO DE BENS MOVEIS,194790.0
janeiro,1.9.9.9.12.2.1.001,Ônus de Sucumbência - Principal,396.45
janeiro,1.9.2.3.99.0.1.001,CONTRIBUIÇÃO SOCIAL LOTEAMENTOS,24687.52
janeiro,1.9.2.2.99.0.4.001,M/J DIV ATIVA OUTRAS RESTITUIÇÕES,9.64
janeiro,1.9.2.2.99.0.3.001,DIV ATIVA OUTRA RESTITUIÇÕES,12.83
janeiro,1.9.2.2.99.0.2.001,M/J OUTRAS RESTITUIÇÕES,0.0
janeiro,1.9.2.2.99.0.1.004,Restituições,471.12
janeiro,1.9.2.2.99.0.1.003,Restituições,0.0
janeiro,1.9.2.2.99.0.1.001,Outras Restituições - Principal,9525.8
janeiro,1.9.2.2.99.0.1.001,Outras Restituições - Principal,54452.26
janeiro,1.9.2.1.99.0.1.001,Outras Indenizações - Principal,0.0
janeiro,1.9.1.1.14.0.1.001,OLIMPIA MULTAS DE TRANSITO,33368.97
janeiro,1.9.1.1.09.0.4.001,Multas e Juros Previstos em Contratos - Dívida Ati,0.0
janeiro,1.9.1.1.09.0.3.001,D A MULTA PREV. EM CONTRATOS,0.0
janeiro,1.9.1.1.09.0.2.001,MULTA PREVISTA EM CONTRATOS,0.0
janeiro,1.7.2.9.51.0.1.005,PAEFI-Serv Prot Especializado a Fam e Individuo,0.0
janeiro,1.7.2.9.51.0.1.004,Media Complexidade - APAE,0.0
janeiro,1.9.1.1.01.0.4.001,M/J DIV ATIVA MULTAS,3693.67
janeiro,1.7.1.1.51.1.1.000,Cota-Parte do Fundo de Participação dos Municípios,5267321.63
janeiro,1.7.1.3.50.3.1.003,AÇÕES DE VIGILANCIA SANITARIA,256.51
janeiro,1.7.1.3.50.3.1.002,COMBATE A ENDEMIAS,81972.0
janeiro,1.7.1.3.50.3.1.001,VIGILANCIA EM SAUDE,8939.48
janeiro,1.7.1.3.50.2.1.026,FAEC - NEFROLOGIA,0.0
janeiro,1.7.1.3.50.2.1.025,FAEC - PRÉ-CIRÚRGICO EM CIRURGIAS PRIORITÁRIAS,0.0
janeiro,1.7.1.3.50.2.1.005,MAC SAMU,28494.7
janeiro,1.7.1.3.50.2.1.004,MAC MELHOR EM CASA,72800.0
janeiro,1.7.1.3.50.2.1.003,MAC MANUTENÇÃO,102717.02
janeiro,1.7.1.3.50.2.1.002,MAC SANTA CASA,415375.09
janeiro,1.7.1.3.50.2.1.001,MAC UPA,300000.0
janeiro,1.7.1.3.50.1.1.045,PAB - IMPLEM. POLITICAS REDE ALYNE,11462.97
janeiro,1.7.1.3.50.1.1.042,AGENTES COMUNITARIOS DE SAUDE,81972.0
janeiro,1.7.1.3.50.1.1.025,APS - INCENT. FINANC. EQUIPES MULTIPROFISSIONAIS,4500.0
janeiro,1.7.1.3.50.1.1.024,APS - INCENT. FINANC. MANUT PAG VALOR NOMINAL,0.0
janeiro,1.7.1.3.50.1.1.023,APS - INCENT. FINANC. ESF/EAP,307425.0
janeiro,1.7.1.3.50.1.1.022,APS -INCENTIVO COMPENSATORIO DE TRANSIÇÃO,32356.72
janeiro,1.7.1.3.50.1.1.009,MANUTENÇÃO ACADEMIA DA SAUDE,6000.0
